212, 794, 2075
78, 873, 2053
77, 992, 2053
76, 992, 2159
207, 1172, 2159
79, 1343, 2159
209, 841, 2214
73, 938, 2345
74, 999, 2345
75, 1061, 2345
72, 885, 2521
71, 1206, 2516
68, 1056, 2723
69, 1095, 2723
70, 1144, 2723
67, 1056, 2798
66, 1095, 2798
100, 885, 2886
101, 1245, 2886
65, 1056, 2983
64, 1095, 2983
61, 1100, 3057
62, 1100, 3163
63, 1056, 3163
99, 889, 3242
102, 1245, 3163
59, 1324, 3057
60, 1324, 3009
56, 1525, 3057
57, 1736, 3057
58, 1736, 3099
98, 1802, 3486
206, 1951, 3057
54, 2177, 3057
55, 2177, 3225
213, 2177, 3299
52, 2401, 3057
53, 2401, 3106
50, 2629, 3057
51, 2629, 3106
97, 2765, 3299
208, 2471, 3607
48, 2943, 3057
49, 2943, 3105
82, 3110, 3070
83, 3110, 3158
46, 3264, 3074
47, 3312, 3074
96, 3475, 3254
44, 3264, 2970
45, 3220, 2970
95, 3474, 2886
94, 3110, 2855
42, 3264, 2798
43, 3316, 2798
39, 3220, 2707
40, 3264, 2707
41, 3312, 2707
93, 3483, 2610
37, 3264, 2553
38, 3220, 2553
87, 3264, 2438
35, 3264, 2315
34, 3220, 2315
36, 3316, 2315
92, 3114, 2465
28, 3264, 2245
27, 3198, 2138
200, 2987, 2142
25, 3365, 2103
29, 3466, 2191
201, 3470, 2245
202, 3650, 2243
210, 3532, 2191
203, 3592, 2103
204, 3847, 2103
205, 3847, 2162
30, 4118, 2103
31, 4118, 2044
90, 4114, 1794
32, 4434, 2103
33, 4434, 2040
91, 4439, 1789
26, 3464, 2034
211, 3481, 1981
7, 3365, 1964
20, 3365, 1828
21, 3582, 1828
23, 3582, 1880
22, 3846, 1828
24, 3837, 1867
18, 3365, 1677
19, 3405, 1677
89, 3577, 1725
16, 3365, 1514
17, 3326, 1514
88, 3160, 1782
15, 3326, 1453
12, 3370, 1453
14, 3410, 1440
86, 3160, 1418
85, 3568, 1356
10, 3365, 1325
11, 3326, 1325
84, 3155, 1093
8, 3365, 1146
9, 3418, 1146
2, 3365, 988
1, 3365, 786
3, 3436, 988
5, 3497, 988
4, 3436, 918
13, 3647, 966
500, 934, 2050
501, 1090, 2146
502, 1251, 2150
503, 986, 2230
504, 1094, 2880
505, 1199, 3056
506, 1171, 3096
507, 1307, 3112
508, 1418, 3055
509, 1617, 3061
510, 1836, 3057
511, 2049, 3061
512, 2174, 3141
513, 2288, 3057
514, 2501, 3049
515, 2728, 3051
516, 2824, 3051
517, 3017, 3062
518, 3185, 3066
519, 3257, 2882
520, 3260, 2622
521, 3260, 2493
522, 3264, 2365
523, 3092, 2124
524, 3275, 2102
525, 3331, 2167
526, 3359, 2231
527, 3556, 2239
528, 3487, 2098
529, 3708, 2102
530, 4206, 2098
531, 4334, 2102
532, 3367, 1894
533, 3467, 1830
534, 3708, 1830
535, 3363, 1745
536, 3363, 1589
537, 3363, 1376
538, 3367, 1228
539, 3363, 1064
540, 3367, 879
541, 3974, 2101
